[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/jsbundles/sortable-drag-drop.js" [Client 172.25.0.1] [Length 2480] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/scripts/hudson-behavior.js" [Client 172.25.0.1] [Length 23280] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/adjuncts/3d816523/jenkins/views/JenkinsHeader/search-box.js" [Client 172.25.0.1] [Length 147] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/jsbundles/keyboard-shortcuts.js" [Client 172.25.0.1] [Length 2407] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/adjuncts/3d816523/lib/layout/breadcrumbs.js" [Client 172.25.0.1] [Length 2750] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/adjuncts/3d816523/lib/form/link/link.js" [Client 172.25.0.1] [Length 285] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/jsbundles/vendors.js" [Client 172.25.0.1] [Length 206513] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/adjuncts/3d816523/lib/hudson/widget-refresh.js" [Client 172.25.0.1] [Length 150] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/adjuncts/3d816523/lib/hudson/editable-description.js" [Client 172.25.0.1] [Length 264] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/adjuncts/3d816523/hudson/views/BuildButtonColumn/icon.js" [Client 172.25.0.1] [Length 257] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/adjuncts/3d816523/hudson/model/UsageStatistics/footer-resources.js" [Client 172.25.0.1] [Length 193] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/adjuncts/3d816523/jenkins/management/AdministrativeMonitorsDecorator/resources.js" [Client 172.25.0.1] [Length 954] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/adjuncts/3d816523/hudson/plugins/favorite/assets.css" [Client 172.25.0.1] [Length 288] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/adjuncts/3d816523/hudson/plugins/favorite/assets.js" [Client 172.25.0.1] [Length 377] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/adjuncts/3d816523/jenkins/management/AdministrativeMonitorsDecorator/resources.css" [Client 172.25.0.1] [Length 1144] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/jsbundles/app.js" [Client 172.25.0.1] [Length 5467] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/images/title.svg" [Client 172.25.0.1] [Length 3455] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/plugin/blueocean-rest-impl/images/48x48/blueocean.png" [Client 172.25.0.1] [Length 2038] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/plugin/workflow-multibranch/images/pipelinemultibranchproject.svg" [Client 172.25.0.1] [Length 81502] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
