[12/May/2023:12:21:48 +0000] - 200 200 - GET http nexus3.local "/static/rapture/nexus-proui-plugin-prod.js?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 32005] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:48 +0000] - 200 200 - GET http nexus3.local "/static/rapture/nexus-repository-nuget-prod.js?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 687] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:48 +0000] - 200 200 - GET http nexus3.local "/static/rapture/nexus-repository-rubygems-prod.js?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 603] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:48 +0000] - 200 200 - GET http nexus3.local "/static/rapture/nexus-repository-docker-prod.js?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 795] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:48 +0000] - 200 200 - GET http nexus3.local "/static/nexus-coreui-bundle.js?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 2191398] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:48 +0000] - 200 200 - GET http nexus3.local "/static/rapture/nexus-repository-npm-prod.js?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 832] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:48 +0000] - 200 200 - GET http nexus3.local "/static/rapture/nexus-analytics-plugin-prod.js?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 795] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:48 +0000] - 200 200 - GET http nexus3.local "/static/rapture/nexus-repository-pypi-prod.js?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 695] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:48 +0000] - 200 200 - GET http nexus3.local "/static/nexus-rapture-bundle.js?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 1640213] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:48 +0000] - 200 200 - GET http nexus3.local "/static/rapture/resources/images/loading-spinner.gif?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 3208] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:48 +0000] - 200 200 - GET http nexus3.local "/static/rapture/resources/images/sonatype-repository-logo-reverse.svg?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 6973] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:48 +0000] - 200 200 - GET http nexus3.local "/static/rapture/resources/images/loading-background.png" [Client 172.25.0.1] [Length 256772] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/static/rapture/resources/loading-prod.css?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628"
[12/May/2023:12:21:48 +0000] - 200 200 - GET http nexus3.local "/static/rapture/app.js?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 21142] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:49 +0000] - 200 200 - GET http nexus3.local "/service/extdirect/poll/rapture_State_get?_dc=1683894109111" [Client 172.25.0.1] [Length 16670] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:49 +0000] - 200 200 - POST http nexus3.local "/service/extdirect" [Client 172.25.0.1] [Length 231] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:49 +0000] - 200 200 - GET http nexus3.local "/static/rapture/resources/images/tools/tool-sprites.png" [Client 172.25.0.1] [Length 4239] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/static/rapture/resources/baseapp-prod_1.css?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628"
